"","eventID","parentEventID","eventDate","samplingProtocol","sampleSizeValue","sampleSizeUnit","footprintWKT","footprintSRS","countryCode","stateProvinde","municipality","location","fieldNumber","fieldNotes"
"61","CSIC-EEZ:SERPAM:AMOLADERAS_A24_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A24","","Quadrat count",0.25,"m^2","POLYGON ((567006.7 4076778, 567007.1 4076778, 567006.8 4076778, 567006.4 4076778, 567006.7 4076778))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G+C+","herbivorism (sheep, rabbit)"
"62","CSIC-EEZ:SERPAM:AMOLADERAS_A22_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A22","","Quadrat count",0.25,"m^2","POLYGON ((566992.3 4076791, 566991.9 4076792, 566992.1 4076792, 566992.6 4076792, 566992.3 4076791))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G-C-","rabbit and livestock excluded"
"63","CSIC-EEZ:SERPAM:AMOLADERAS_A22_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A22","","Quadrat count",0.25,"m^2","POLYGON ((566990.9 4076792, 566991.2 4076792, 566991.6 4076792, 566991.3 4076791, 566990.9 4076792))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G-C-","rabbit and livestock excluded"
"64","CSIC-EEZ:SERPAM:AMOLADERAS_A22_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A22","","Quadrat count",0.25,"m^2","POLYGON ((566991.5 4076791, 566991.9 4076791, 566991.6 4076790, 566991.2 4076790, 566991.5 4076791))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G-C-","rabbit and livestock excluded"
"65","CSIC-EEZ:SERPAM:AMOLADERAS_A22_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A22","","Quadrat count",0.25,"m^2","POLYGON ((566992.1 4076791, 566992.3 4076791, 566992.7 4076791, 566992.5 4076791, 566992.1 4076791))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G-C-","rabbit and livestock excluded"
"66","CSIC-EEZ:SERPAM:AMOLADERAS_A28_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A28","","Quadrat count",0.25,"m^2","POLYGON ((567175.1 4076927, 567174.8 4076927, 567175.2 4076927, 567175.4 4076927, 567175.1 4076927))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 6 | G-C-","rabbit and livestock excluded"
"67","CSIC-EEZ:SERPAM:AMOLADERAS_A28_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A28","","Quadrat count",0.25,"m^2","POLYGON ((567175.7 4076928, 567175.3 4076927, 567175 4076928, 567175.5 4076928, 567175.7 4076928))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 6 | G-C-","rabbit and livestock excluded"
"68","CSIC-EEZ:SERPAM:AMOLADERAS_A28_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A28","","Quadrat count",0.25,"m^2","POLYGON ((567176 4076927, 567175.8 4076928, 567176.3 4076928, 567176.5 4076927, 567176 4076927))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 6 | G-C-","rabbit and livestock excluded"
"69","CSIC-EEZ:SERPAM:AMOLADERAS_A28_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A28","","Quadrat count",0.25,"m^2","POLYGON ((567176 4076927, 567176.3 4076926, 567175.8 4076926, 567175.6 4076927, 567176 4076927))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 6 | G-C-","rabbit and livestock excluded"
"70","CSIC-EEZ:SERPAM:AMOLADERAS_A29_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A29","","Quadrat count",0.25,"m^2","POLYGON ((567177 4076917, 567176.9 4076917, 567177.4 4076917, 567177.4 4076917, 567177 4076917))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 6 | G-C+","livestock excluded"
"71","CSIC-EEZ:SERPAM:AMOLADERAS_A29_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A29","","Quadrat count",0.25,"m^2","POLYGON ((567177.9 4076917, 567177.4 4076917, 567177.3 4076918, 567177.8 4076918, 567177.9 4076917))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 6 | G-C+","livestock excluded"
"72","CSIC-EEZ:SERPAM:AMOLADERAS_A29_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A29","","Quadrat count",0.25,"m^2","POLYGON ((567178.1 4076917, 567178 4076917, 567178.5 4076917, 567178.6 4076917, 567178.1 4076917))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 6 | G-C+","livestock excluded"
"73","CSIC-EEZ:SERPAM:AMOLADERAS_A29_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A29","","Quadrat count",0.25,"m^2","POLYGON ((567178 4076917, 567178.1 4076916, 567177.6 4076916, 567177.5 4076917, 567178 4076917))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 6 | G-C+","livestock excluded"
